GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FP4SocialNetwork,com.danit.socialnetwork.service,PasswordChangerService,61,0,2,0,16,0,6,0,5,0
FP4SocialNetwork,com.danit.socialnetwork.service,InboxParticipantsServiceImpl,4,41,1,1,1,10,1,4,0,4
FP4SocialNetwork,com.danit.socialnetwork.service,PostSharedServiceImpl,38,0,0,0,7,0,4,0,4,0
FP4SocialNetwork,com.danit.socialnetwork.service,InboxServiceImpl,0,81,0,2,0,20,0,6,0,5
FP4SocialNetwork,com.danit.socialnetwork.service,MessageServiceImpl,0,47,0,0,0,7,0,4,0,4
FP4SocialNetwork,com.danit.socialnetwork.service,UserFollowServiceImpl,36,0,0,0,9,0,5,0,5,0
FP4SocialNetwork,com.danit.socialnetwork.service,MailSenderImpl,28,0,0,0,8,0,2,0,2,0
FP4SocialNetwork,com.danit.socialnetwork.service,UserServiceImpl,136,215,14,8,24,45,13,12,3,11
FP4SocialNetwork,com.danit.socialnetwork.service,PostCommentServiceImpl,12,68,1,1,1,15,1,4,0,4
FP4SocialNetwork,com.danit.socialnetwork.service,PostLikeServiceImpl,60,62,4,2,10,13,3,6,0,6
FP4SocialNetwork,com.danit.socialnetwork.service,PostServiceImpl,13,139,1,1,2,37,1,8,0,8
FP4SocialNetwork,com.danit.socialnetwork.controller.mail,MailSender,78,7,0,0,20,2,1,2,1,2
FP4SocialNetwork,com.danit.socialnetwork.controller.mail,MailSender.new Authenticator() {...},20,0,0,0,2,0,2,0,2,0
FP4SocialNetwork,com.danit.socialnetwork.security,WebSecurityConfig,257,0,2,0,47,0,10,0,9,0
FP4SocialNetwork,com.danit.socialnetwork.security,JwtTokenService,14,71,1,1,5,23,1,5,0,5
FP4SocialNetwork,com.danit.socialnetwork.security,JwtUserDetailsService,6,42,0,0,2,10,0,4,0,4
FP4SocialNetwork,com.danit.socialnetwork.security,JwtAuthenticationEntryPoint,8,0,0,0,3,0,2,0,2,0
FP4SocialNetwork,com.danit.socialnetwork.security,JwtUserDetails,80,8,14,0,8,4,18,2,11,2
FP4SocialNetwork,com.danit.socialnetwork.security,JwtAuthFilter,40,49,0,0,5,14,5,4,5,4
FP4SocialNetwork,com.danit.socialnetwork.dto.post,PostSharedDtoSave,131,0,22,0,8,0,21,0,10,0
FP4SocialNetwork,com.danit.socialnetwork.dto.post,PostCommentDtoSave,131,44,30,0,0,10,19,8,4,8
FP4SocialNetwork,com.danit.socialnetwork.dto.post,PostDtoSave,117,24,24,0,0,4,16,7,4,7
FP4SocialNetwork,com.danit.socialnetwork.dto.post,PostLikeDto,98,33,22,0,0,8,15,6,4,6
FP4SocialNetwork,com.danit.socialnetwork.dto.post,PostSharedDtoResponse,3,0,0,0,1,0,1,0,1,0
FP4SocialNetwork,com.danit.socialnetwork.dto.post,PostCommentDtoResponse,239,69,54,0,3,13,34,11,7,11
FP4SocialNetwork,com.danit.socialnetwork.dto.post,PostDtoResponse,297,96,64,0,5,20,41,14,9,14
FP4SocialNetwork,com.danit.socialnetwork.exception.post,PostNotFoundException,13,0,0,0,6,0,3,0,3,0
FP4SocialNetwork,com.danit.socialnetwork.exception.post,PostLikeNotFoundException,13,0,0,0,6,0,3,0,3,0
FP4SocialNetwork,com.danit.socialnetwork.controller,PasswordChanger,17,8,0,0,4,2,1,1,1,1
FP4SocialNetwork,com.danit.socialnetwork.model,PostShared,202,0,40,0,6,0,33,0,13,0
FP4SocialNetwork,com.danit.socialnetwork.model,PasswordChangeRequests,169,0,34,0,5,0,28,0,11,0
FP4SocialNetwork,com.danit.socialnetwork.model,UserFollower,180,15,38,0,4,2,28,4,9,4
FP4SocialNetwork,com.danit.socialnetwork.model,DbUser,324,281,81,33,0,24,64,23,7,23
FP4SocialNetwork,com.danit.socialnetwork.model,Post,235,73,55,1,0,16,32,14,4,14
FP4SocialNetwork,com.danit.socialnetwork.model,Inbox,255,192,57,21,5,15,46,17,7,17
FP4SocialNetwork,com.danit.socialnetwork.model,PostLike,175,27,39,1,2,4,26,7,6,7
FP4SocialNetwork,com.danit.socialnetwork.model,Message,200,202,50,20,0,19,40,17,6,16
FP4SocialNetwork,com.danit.socialnetwork.model,PostComment,202,40,47,1,0,7,28,11,4,11
FP4SocialNetwork,com.danit.socialnetwork.model,InboxParticipants,152,112,33,13,4,9,29,10,6,10
FP4SocialNetwork,com.danit.socialnetwork,NetworkApp,16,0,0,0,5,0,4,0,4,0
FP4SocialNetwork,com.danit.socialnetwork.dto.user,UserFollowDtoResponse,3,0,0,0,1,0,1,0,1,0
FP4SocialNetwork,com.danit.socialnetwork.dto.user,UserDtoRequest,155,0,30,0,4,0,26,0,11,0
FP4SocialNetwork,com.danit.socialnetwork.dto.user,UserDtoResponse,258,73,52,2,7,15,34,13,7,13
FP4SocialNetwork,com.danit.socialnetwork.rest,PostLikeRestController,4,53,1,1,1,12,1,6,0,6
FP4SocialNetwork,com.danit.socialnetwork.rest,PostRestController,6,42,1,1,1,8,1,6,0,6
FP4SocialNetwork,com.danit.socialnetwork.rest,UserFollowerRestController,20,0,0,0,4,0,4,0,4,0
FP4SocialNetwork,com.danit.socialnetwork.rest,MessageRestController,0,122,0,0,0,24,0,5,0,5
FP4SocialNetwork,com.danit.socialnetwork.rest,PostCommentRestController,4,35,1,1,1,9,1,4,0,4
FP4SocialNetwork,com.danit.socialnetwork.rest,PostSharedRestController,34,0,2,0,7,0,5,0,4,0
FP4SocialNetwork,com.danit.socialnetwork.rest,PasswordRestController,147,0,10,0,30,0,10,0,5,0
FP4SocialNetwork,com.danit.socialnetwork.rest,PasswordRestController.UserEmail,74,0,14,0,2,0,13,0,6,0
FP4SocialNetwork,com.danit.socialnetwork.rest,JwtAuthenticationRestController,105,87,8,2,24,20,6,3,1,3
FP4SocialNetwork,com.danit.socialnetwork.rest,UserRestController,33,171,3,3,6,40,6,8,3,8
FP4SocialNetwork,com.danit.socialnetwork.exception.user,PhotoNotFoundException,13,0,0,0,6,0,3,0,3,0
FP4SocialNetwork,com.danit.socialnetwork.exception.user,UserNotFoundException,13,0,0,0,6,0,3,0,3,0
FP4SocialNetwork,com.danit.socialnetwork.exception.user,AppUserError,13,0,0,0,6,0,3,0,3,0
